Date,Time,Temperature,Humidity,Soil,Rain,LDR,Water
11/29/2024,8:31:22,30,89,43,No,1302,1
11/29/2024,1:12:20,23,51,27,No,408,4
11/29/2024,7:52:25,32,55,88,No,4053,4
11/29/2024,5:46:13,22,77,55,Yes,2989,1
11/29/2024,10:28:22,25,53,7,No,3087,2
11/29/2024,1:20:49,23,56,61,Yes,1529,4
11/29/2024,2:39:26,20,57,67,Yes,1728,3
11/29/2024,2:28:13,27,76,80,Yes,727,4
11/29/2024,1:33:48,25,83,5,Yes,4088,3
11/29/2024,8:31:48,24,55,43,Yes,314,1
11/29/2024,4:57:52,25,81,77,Yes,2051,3
11/29/2024,7:16:51,24,46,69,Yes,3588,3
11/29/2024,11:30:52,23,62,11,Yes,2575,4
11/29/2024,5:54:29,23,54,42,No,846,4
11/29/2024,9:16:41,33,63,93,Yes,3854,1
11/29/2024,10:54:45,24,50,46,Yes,28,1
11/29/2024,10:24:50,20,85,2,No,3689,1
11/29/2024,6:51:49,31,50,54,Yes,1911,2
11/29/2024,3:10:48,29,47,41,Yes,2817,1
11/29/2024,1:34:55,25,77,5,No,373,2
11/29/2024,5:41:57,24,64,54,No,287,4
11/29/2024,3:13:21,20,54,25,No,1044,4
11/29/2024,10:48:42,27,74,10,Yes,2021,4
11/29/2024,2:53:41,24,76,23,Yes,1116,2
11/29/2024,7:18:25,33,66,22,No,2435,3
11/29/2024,4:40:56,21,49,42,No,830,2
